State,District,month,Day,Rainfall,Date,flood_occurred,rainfall_3day,rainfall_7day,historical_flood_count_10yr
andaman & nicobar,nicobar,10,1,0.0,2022-10-01,0,0.0,0.0,
andaman & nicobar,nicobar,10,2,0.0,2022-10-02,0,0.0,0.0,
andaman & nicobar,nicobar,10,3,0.0,2022-10-03,0,0.0,0.0,
andaman & nicobar,nicobar,10,4,0.0,2022-10-04,0,0.0,0.0,
andaman & nicobar,nicobar,10,5,0.0,2022-10-05,0,0.0,0.0,
andaman & nicobar,nicobar,10,6,0.0,2022-10-06,0,0.0,0.0,
andaman & nicobar,nicobar,10,7,0.0,2022-10-07,0,0.0,0.0,
andaman & nicobar,nicobar,10,8,0.0,2022-10-08,0,0.0,0.0,
andaman & nicobar,nicobar,10,9,0.0,2022-10-09,0,0.0,0.0,
andaman & nicobar,nicobar,10,10,0.0,2022-10-10,0,0.0,0.0,
andaman & nicobar,nicobar,10,11,0.0,2022-10-11,0,0.0,0.0,
andaman & nicobar,nicobar,10,12,0.0,2022-10-12,0,0.0,0.0,
andaman & nicobar,nicobar,10,13,0.0,2022-10-13,0,0.0,0.0,
andaman & nicobar,nicobar,10,14,0.0,2022-10-14,0,0.0,0.0,
andaman & nicobar,nicobar,10,15,0.0,2022-10-15,0,0.0,0.0,
andaman & nicobar,nicobar,10,16,0.0,2022-10-16,0,0.0,0.0,
andaman & nicobar,nicobar,10,17,0.0,2022-10-17,0,0.0,0.0,
andaman & nicobar,nicobar,10,18,0.0,2022-10-18,0,0.0,0.0,
andaman & nicobar,nicobar,10,19,0.0,2022-10-19,0,0.0,0.0,
andaman & nicobar,nicobar,10,20,0.0,2022-10-20,0,0.0,0.0,
andaman & nicobar,nicobar,10,21,0.0,2022-10-21,0,0.0,0.0,
andaman & nicobar,nicobar,10,22,0.0,2022-10-22,0,0.0,0.0,
andaman & nicobar,nicobar,10,23,0.0,2022-10-23,0,0.0,0.0,
andaman & nicobar,nicobar,10,24,0.0,2022-10-24,0,0.0,0.0,
andaman & nicobar,nicobar,10,25,0.0,2022-10-25,0,0.0,0.0,
andaman & nicobar,nicobar,10,26,0.0,2022-10-26,0,0.0,0.0,
andaman & nicobar,nicobar,10,27,0.0,2022-10-27,0,0.0,0.0,
andaman & nicobar,nicobar,10,28,0.0,2022-10-28,0,0.0,0.0,
andaman & nicobar,nicobar,10,29,0.0,2022-10-29,0,0.0,0.0,
andaman & nicobar,nicobar,10,30,0.0,2022-10-30,0,0.0,0.0,
andaman & nicobar,nicobar,10,31,0.0,2022-10-31,0,0.0,0.0,
andaman & nicobar,nicobars,1,1,0.0,2022-01-01,0,0.0,0.0,
andaman & nicobar,nicobars,1,2,0.0,2022-01-02,0,0.0,0.0,
andaman & nicobar,nicobars,1,3,0.0,2022-01-03,0,0.0,0.0,
andaman & nicobar,nicobars,1,4,0.0,2022-01-04,0,0.0,0.0,
andaman & nicobar,nicobars,1,5,0.0,2022-01-05,0,0.0,0.0,
andaman & nicobar,nicobars,1,6,0.0,2022-01-06,0,0.0,0.0,
andaman & nicobar,nicobars,1,7,0.0,2022-01-07,0,0.0,0.0,
andaman & nicobar,nicobars,1,8,0.0,2022-01-08,0,0.0,0.0,
andaman & nicobar,nicobars,1,9,0.0,2022-01-09,0,0.0,0.0,
andaman & nicobar,nicobars,1,10,0.0,2022-01-10,0,0.0,0.0,
andaman & nicobar,nicobars,1,11,0.0,2022-01-11,0,0.0,0.0,
andaman & nicobar,nicobars,1,12,0.0,2022-01-12,0,0.0,0.0,
andaman & nicobar,nicobars,1,13,0.0,2022-01-13,0,0.0,0.0,
andaman & nicobar,nicobars,1,14,0.0,2022-01-14,0,0.0,0.0,
andaman & nicobar,nicobars,1,15,0.0,2022-01-15,0,0.0,0.0,
andaman & nicobar,nicobars,1,16,0.0,2022-01-16,0,0.0,0.0,
andaman & nicobar,nicobars,1,17,0.0,2022-01-17,0,0.0,0.0,
andaman & nicobar,nicobars,1,18,0.0,2022-01-18,0,0.0,0.0,
andaman & nicobar,nicobars,1,19,0.0,2022-01-19,0,0.0,0.0,
andaman & nicobar,nicobars,1,20,0.0,2022-01-20,0,0.0,0.0,
andaman & nicobar,nicobars,1,21,0.0,2022-01-21,0,0.0,0.0,
andaman & nicobar,nicobars,1,22,0.0,2022-01-22,0,0.0,0.0,
andaman & nicobar,nicobars,1,23,0.0,2022-01-23,0,0.0,0.0,
andaman & nicobar,nicobars,1,24,0.0,2022-01-24,0,0.0,0.0,
andaman & nicobar,nicobars,1,25,0.0,2022-01-25,0,0.0,0.0,
andaman & nicobar,nicobars,1,26,0.0,2022-01-26,0,0.0,0.0,
andaman & nicobar,nicobars,1,27,0.0,2022-01-27,0,0.0,0.0,
andaman & nicobar,nicobars,1,28,0.0,2022-01-28,0,0.0,0.0,
andaman & nicobar,nicobars,1,29,0.0,2022-01-29,0,0.0,0.0,
andaman & nicobar,nicobars,1,30,0.0,2022-01-30,0,0.0,0.0,
andaman & nicobar,nicobars,1,31,0.0,2022-01-31,0,0.0,0.0,
andaman & nicobar,nicobars,2,1,0.0,2022-02-01,0,0.0,0.0,
andaman & nicobar,nicobars,2,2,0.0,2022-02-02,0,0.0,0.0,
andaman & nicobar,nicobars,2,3,0.0,2022-02-03,0,0.0,0.0,
andaman & nicobar,nicobars,2,4,0.0,2022-02-04,0,0.0,0.0,
andaman & nicobar,nicobars,2,5,0.0,2022-02-05,0,0.0,0.0,
andaman & nicobar,nicobars,2,6,0.0,2022-02-06,0,0.0,0.0,
andaman & nicobar,nicobars,2,7,0.0,2022-02-07,0,0.0,0.0,
andaman & nicobar,nicobars,2,8,0.0,2022-02-08,0,0.0,0.0,
andaman & nicobar,nicobars,2,9,0.0,2022-02-09,0,0.0,0.0,
andaman & nicobar,nicobars,2,10,0.0,2022-02-10,0,0.0,0.0,
andaman & nicobar,nicobars,2,11,0.0,2022-02-11,0,0.0,0.0,
andaman & nicobar,nicobars,2,12,0.0,2022-02-12,0,0.0,0.0,
andaman & nicobar,nicobars,2,13,0.0,2022-02-13,0,0.0,0.0,
andaman & nicobar,nicobars,2,14,0.0,2022-02-14,0,0.0,0.0,
andaman & nicobar,nicobars,2,15,0.0,2022-02-15,0,0.0,0.0,
andaman & nicobar,nicobars,2,16,0.0,2022-02-16,0,0.0,0.0,
andaman & nicobar,nicobars,2,17,0.0,2022-02-17,0,0.0,0.0,
andaman & nicobar,nicobars,2,18,0.0,2022-02-18,0,0.0,0.0,
andaman & nicobar,nicobars,2,19,0.0,2022-02-19,0,0.0,0.0,
andaman & nicobar,nicobars,2,20,0.0,2022-02-20,0,0.0,0.0,
andaman & nicobar,nicobars,2,21,0.0,2022-02-21,0,0.0,0.0,
andaman & nicobar,nicobars,2,22,0.0,2022-02-22,0,0.0,0.0,
andaman & nicobar,nicobars,2,23,0.0,2022-02-23,0,0.0,0.0,
andaman & nicobar,nicobars,2,24,0.0,2022-02-24,0,0.0,0.0,
andaman & nicobar,nicobars,2,25,0.0,2022-02-25,0,0.0,0.0,
andaman & nicobar,nicobars,2,26,0.0,2022-02-26,0,0.0,0.0,
andaman & nicobar,nicobars,2,27,0.0,2022-02-27,0,0.0,0.0,
andaman & nicobar,nicobars,2,28,0.0,2022-02-28,0,0.0,0.0,
andaman & nicobar,nicobars,3,1,0.0,2022-03-01,0,0.0,0.0,
